ingrID	price	unit	amount
4	0.099083	1	lb
12	0.427833	1	lb
15	0.053333	1	lb
20	0.081667	1	lb
21	0.148	1	lb
24	0.55975	25.4	oz
25	0.55975	25.4	oz
26	0.130833	1	lb
27	0.171417	1	lb
30	0.178167	1	lb
31	0.030667	1	lb
36	0.03525	1	lb
38	0.04025	1	lb
39	0.448833	1	lb
40	0.111917	1	lb
41	0.11975	1	lb
42	0.21525	1	lb
43	0.121	1	lb
47	0.196667	1	lb
48	0.341167	1	lb
49	0.13225	1	lb
55	0.35175	1	lb
57	0.275417	1	lb
59	0.04175	1	lb
61	0.063667	1	lb
64	0.05925	1	lb
69	0.12225	1	dozen
75	0.03275	1	lb
84	0.064	1	lb
86	0.35025	1	lb
87	0.148	1	lb
90	0.134917	1	lb
96	0.427333	1.9	liter
99	0.078	1	lb
101	0.297667	1	lb
102	0.199583	1	lb
104	0.059	1	lb
107	0.114667	1	lb
109	0.061417	1	lb
112	0.149167	1.9	liter
117	0.180333	1	lb
121	0.061417	1	lb
123	0.026833	1	lb
125	0.11075	1	lb
133	0.1715	1	lb
134	0.178	1	lb
135	0.178	1	lb
136	0.055833	1	lb
139	0.055667	1	lb
143	0.143083	1	lb
144	0.017583	1	lb
148	0.075833	1	lb
152	0.254583	1	lb
153	0.106083	1	lb
156	0.059	1	lb
160	0.440417	1	lb
165	0.17725	1	lb
166	0.106	1	lb
171	0.205333	1	lb
172	0.072167	1	lb
176	0.0665	1	lb
178	0.126333	1	lb
180	0.051083	1	lb
188	0.15	1	lb
189	0.171667	1	lb
190	0.082	1	lb
195	0.462083	25.4	oz
200	1.0115	33.8	oz
203	0.047667	226.8	gram
