rID	category
0	fruit
0	kid-friendly
0	sandwich
0	vegetable
0	bake
0	bastille day
0	bon appétit
0	chill
0	dried fruit
0	food processor
0	new year's eve
0	port
0	winter
1	dairy
1	gourmet
1	new york
1	soup/stew
1	vegetable
1	bon appétit
1	dairy free
1	dinner
1	healthy
1	high fiber
1	kosher
1	low cal
1	low fat
1	pescatarian
1	sauté
1	simmer
1	soy free
1	tree nut free
1	bake
1	bon appétit
1	california
1	cheese
1	dairy
1	fall
1	quick & easy
1	side
1	vegetable
1	vegetarian
2	bon appétit
2	food processor
2	kid-friendly
2	quick & easy
2	sandwich
2	summer
3	bon appétit
3	dairy free
3	easter
3	healthy
3	low fat
3	quick & easy
3	salad
3	side
3	soy free
3	spring
3	tree nut free
3	wheat/gluten-free
3	cocktail party
3	fruit
3	gourmet
3	kumquat
3	no-cook
3	vegetarian
3	winter
4	gourmet
4	quick & easy
4	sauté
4	spring
4	stir-fry
5	dairy free
5	gourmet
5	lunch
5	picnic
5	salad
5	soy free
5	summer
5	tree nut free
5	wheat/gluten-free
6	bon appétit
6	dairy
6	fall
6	side
6	simmer
6	thanksgiving
6	breakfast
6	dairy free
6	gourmet
6	soup/stew
6	spring
6	bake
6	birthday
6	bon appétit
6	cake
6	dessert
6	fruit
6	kid-friendly
6	kosher
6	party
6	pescatarian
6	soy free
6	tree nut free
6	tropical fruit
6	vegetarian
6	bon appétit
6	brandy
6	father's day
6	low carb
6	massachusetts
6	quick & easy
6	sauté
6	wheat/gluten-free
7	bon appétit
7	sauce
8	chill
8	escarole
8	gourmet
8	healthy
8	no-cook
8	soup/stew
8	vegetarian
8	winter
9	bake
9	bon appétit
9	breakfast
9	brunch
9	christmas
9	dessert
9	kidney friendly
9	kosher
9	mother's day
9	new year's day
9	pescatarian
9	soy free
9	tree nut free
9	vegetarian
9	wheat/gluten-free
10	braise
10	gourmet
10	sauté
10	vegetable
11	bon appétit
11	cheese
11	low carb
11	summer
12	bon appétit
12	dairy free
12	high fiber
12	kosher
12	lunch
12	pescatarian
12	soy free
12	spring
12	tree nut free
12	wheat/gluten-free
13	fall
13	gourmet
13	no-cook
13	salad
13	vegetarian
14	bake
14	kid-friendly
14	low fat
14	self
14	bake
14	bon appétit
14	cod
14	dinner
14	healthy
14	low cal
14	low carb
14	low sodium
14	quick & easy
14	bake
14	bon appétit
14	cheese
14	dinner
14	endive
14	family reunion
14	high fiber
14	leafy green
14	sauté
14	bake
14	bon appétit
14	cocktail party
14	fall
14	nut
14	quick & easy
14	shower
14	super bowl
14	winter
15	condiment/spread
15	fry
15	gourmet
15	no-cook
15	pan-fry
15	quick & easy
15	winter
16	advance prep required
16	chill
16	dairy free
16	dinner
16	easter
16	father's day
16	herb
16	kidney friendly
16	kosher
16	lunch
16	mother's day
16	paleo
16	party
16	pescatarian
16	shower
16	side
16	soy free
16	spring
16	summer
16	tree nut free
16	vegetable
16	vegetarian
16	wheat/gluten-free
17	bake
17	bon appétit
17	healthy
17	kid-friendly
17	spice
18	blender
18	dairy free
18	gourmet
18	kosher
18	pescatarian
18	roast
18	salad
18	side
18	soy free
18	summer
18	tree nut free
18	vegan
18	vegetarian
18	wheat/gluten-free
18	bake
18	bon appétit
18	dessert
18	fruit
18	kosher
18	pescatarian
18	soy free
18	summer
18	tree nut free
18	vegetarian
19	back to school
19	bon appétit
19	dairy free
19	dinner
19	kid-friendly
19	low cal
19	poker/game night
19	stir-fry
19	tree nut free
19	australia
19	gourmet
20	dairy free
20	fall
20	gourmet
20	paleo
20	roast
20	side
20	soy free
20	thanksgiving
20	tree nut free
20	wheat/gluten-free
20	food processor
20	gourmet
20	quick & easy
20	spring
21	casserole/gratin
21	cheese
21	dinner
21	herb
21	kosher
21	low cal
21	lunch
21	pescatarian
21	self
21	simmer
21	soy free
21	squash
21	tree nut free
21	vegetarian
22	bon appétit
22	dinner
22	fall
22	sauté
22	soy free
22	spice
22	tree nut free
22	wheat/gluten-free
22	bon appétit
22	dairy free
22	deep-fry
22	dessert
22	family reunion
22	kidney friendly
22	soy free
22	tree nut free
23	dairy free
23	gourmet
23	kidney friendly
23	kosher
23	paleo
23	pescatarian
23	quick & easy
23	sauté
23	side
23	soy free
23	tree nut free
23	vegan
23	vegetarian
23	wheat/gluten-free
23	gourmet
23	quick & easy
23	summer
24	dairy free
24	gourmet
24	grill
24	grill/barbecue
24	kidney friendly
24	kosher
24	pescatarian
24	side
24	soy free
24	tree nut free
24	vegetarian
25	bake
25	birthday
25	cake
25	dessert
25	easter
25	kidney friendly
25	kosher
25	pescatarian
25	soy free
25	tree nut free
25	vegetarian
26	bake
26	bon appétit
26	california
26	healthy
26	leafy green
26	quick & easy
26	alcoholic
26	bitters
26	bon appétit
26	cocktail
26	cocktail party
26	drink
26	father's day
26	liqueur
26	rye
26	bake
26	casserole/gratin
26	crab
26	gourmet
26	lunch
26	pescatarian
26	side
26	soy free
26	tree nut free
26	wheat/gluten-free
26	winter
26	backyard bbq
26	dairy free
26	dinner
26	healthy
26	kosher
26	soy free
26	summer
26	tree nut free
26	vegetable
26	wheat/gluten-free
27	bon appétit
27	chill
27	citrus
27	freeze/chill
28	dairy free
28	gourmet
28	side
28	soy free
28	tree nut free
28	wheat/gluten-free
29	appetizer
29	bon appétit
29	christmas
29	christmas eve
29	cocktail party
29	dinner
29	engagement party
29	kidney friendly
29	kosher
29	oscars
29	party
29	pescatarian
29	potluck
29	quick & easy
29	soy free
29	tree nut free
29	vegetarian
29	wheat/gluten-free
29	bon appétit
29	quick & easy
29	sauté
29	simmer
29	soup/stew
30	bon appétit
30	breakfast
30	brunch
30	dairy free
30	kosher
30	no-cook
30	pescatarian
30	pomegranate
30	quick & easy
30	salad
30	soy free
30	tree nut free
30	vegan
30	vegetarian
30	wheat/gluten-free
30	winter
31	blender
31	dairy free
31	fall
31	gourmet
31	kosher
31	lunch
31	quick & easy
31	simmer
31	soup/stew
31	soy free
31	tree nut free
31	wheat/gluten-free
31	back to school
31	bake
31	bon appétit
31	breakfast
31	brunch
31	kid-friendly
31	mixer
32	braise
32	dairy free
32	dinner
32	healthy
32	kosher
32	one-pot meal
32	soy free
32	spice
32	tree nut free
32	vegetable
32	wheat/gluten-free
32	bon appétit
32	dinner
32	fall
32	family reunion
32	high fiber
32	roast
32	soy free
32	spring
32	summer
32	winter
33	bake
33	birthday
33	cake
33	dessert
33	gourmet
33	party
33	shower
33	dairy free
33	dinner
33	fig
33	harpercollins
33	paleo
33	quick and healthy
33	soy free
33	tree nut free
33	wheat/gluten-free
34	bon appétit
34	cheese
34	fall
34	quick & easy
34	sandwich
34	winter
35	bake
35	breakfast
35	brunch
35	fall
35	gourmet
35	kid-friendly
35	kidney friendly
