rID	ingrID	unit	amount
0	41	cup	4
0	101	cup	2
0	38	None	None
0	47	None	None
0	185	None	None
0	162	teaspoon	1
0	186	None	None
0	4	None	None
0	100	tablespoon	1
0	119	teaspoon	2
0	137	None	None
0	74	None	None
0	188	pound	4
0	102	None	None
1	3	None	None
1	121	None	None
1	30	tablespoon	2
1	143	None	None
1	41	cup	2
1	110	cup	2
2	16	cup	2
2	109	cup	1
2	30	cup	4
2	12	pound	1
2	26	None	None
2	186	None	None
2	11	None	None
2	121	None	None
2	102	None	None
3	143	pound	2
3	36	pound	2
3	9	pound	2
3	178	ounce	6
3	88	ounce	8
3	175	None	None
4	173	cup	4
4	178	tablespoon	1
4	119	tablespoon	1
4	166	tablespoon	3
4	164	cup	2
4	76	None	None
4	79	tablespoon	1
4	176	lb	1
4	152	None	None
5	129	None	None
5	41	cup	4
5	76	None	None
5	77	teaspoon	2
5	195	tablespoon	3
5	88	cup	2
5	109	cup	2
5	116	tablespoon	2
5	198	tablespoon	2
5	38	None	None
5	47	teaspoon	2
5	58	cup	4
5	143	pound	1
5	119	tablespoon	3
5	131	None	None
6	119	teaspoon	4
6	47	cup	2
6	158	teaspoon	2
6	143	pound	3
6	41	cup	4
6	197	cup	2
6	118	None	None
7	171	lb	2
7	100	None	None
7	47	None	None
7	121	None	None
7	195	tablespoon	2
7	20	oz	6
7	41	cup	2
7	119	cup	2
7	110	None	None
7	178	tablespoon	1
7	152	lb	1
7	49	None	None
8	132	None	None
8	178	tablespoon	2
8	4	teaspoon	1
8	162	teaspoon	2
8	116	cup	3
8	47	tablespoon	1
8	137	None	None
9	186	cup	2
9	47	tablespoon	1
9	11	None	None
9	119	cup	2
9	49	cup	3
9	162	cup	4
9	76	tablespoon	2
9	198	tablespoon	2
9	103	tablespoon	1
9	96	teaspoon	1
9	79	teaspoon	1
9	115	None	None
10	195	cup	1
10	30	cup	3
10	197	cup	3
10	178	tablespoon	2
10	92	teaspoon	2
10	162	teaspoon	4
10	58	cup	3
10	68	None	None
10	182	None	None
11	141	None	None
11	162	teaspoon	2
11	183	teaspoon	4
11	119	tablespoon	2
11	36	None	None
11	38	None	None
11	121	None	None
11	58	teaspoon	2
11	116	teaspoon	2
11	57	teaspoon	2
11	64	teaspoon	4
11	195	cup	3
11	70	None	None
12	137	None	None
12	47	cup	2
12	76	teaspoon	2
12	119	teaspoon	4
12	2	None	None
12	195	None	None
12	16	tablespoon	1
13	47	None	None
13	45	cup	3
13	88	cup	4
13	92	teaspoon	1
13	116	teaspoon	1
13	119	ounce	2
13	9	pound	2
13	143	pound	4
13	33	cup	2
13	84	ounce	8
13	147	cup	3
13	68	None	None
13	187	ounce	2
14	79	None	None
14	30	cup	4
14	119	tablespoon	3
14	152	cup	4
14	178	tablespoon	2
14	195	cup	4
14	76	teaspoon	1
14	162	teaspoon	2
14	134	lb	2
14	36	None	None
15	26	cup	3
15	127	tbsp	2
15	162	tbsp	2
15	137	tbsp	1
15	30	cup	2
15	41	None	None
16	135	cup	2
16	30	tablespoon	3
16	162	teaspoon	4
17	76	None	None
17	119	tablespoon	2
17	162	teaspoon	4
17	137	teaspoon	4
17	159	cup	1
18	68	cup	2
18	63	cup	4
18	167	cup	4
18	121	cup	2
18	47	tablespoon	3
18	109	cup	2
18	162	teaspoon	4
18	137	teaspoon	4
19	178	tablespoon	1
19	79	teaspoon	4
19	50	teaspoon	4
19	134	None	None
20	143	pound	3
20	119	cup	3
20	120	None	None
20	76	None	None
20	198	cup	4
20	158	tablespoon	1
20	121	None	None
20	20	pound	2
21	44	tablespoon	2
21	173	tablespoon	2
21	192	teaspoon	2
21	79	teaspoon	2
21	176	None	None
21	119	tablespoon	2
21	121	None	None
21	137	None	None
21	47	cup	2
22	143	pound	4
22	12	pound	2
22	162	teaspoon	1
22	137	teaspoon	2
22	119	cup	4
22	164	None	None
22	192	tablespoon	2
22	195	tablespoon	1
23	130	ounce	8
23	30	pound	2
23	47	None	None
23	74	tablespoon	2
23	110	cup	3
23	162	tsp	2
23	137	teaspoon	4
24	30	tablespoon	6
24	119	cup	4
24	121	None	None
24	178	tablespoon	2
24	198	cup	4
24	162	cup	3
24	64	teaspoon	2
24	137	teaspoon	4
24	41	cup	3
24	76	None	None
24	186	None	None
24	47	tablespoon	1
24	33	cup	4
24	103	cup	4
24	158	teaspoon	1
24	11	None	None
25	27	lb	2
25	76	None	None
25	119	cup	3
25	162	teaspoon	1
25	100	None	None
26	74	cup	2
26	178	teaspoon	1
26	162	teaspoon	1
26	200	teaspoon	2
26	195	cup	4
26	119	None	None
26	68	tablespoon	1
27	53	cup	1
27	119	cup	3
27	74	cup	4
27	13	teaspoon	2
27	162	cup	4
27	190	teaspoon	2
27	110	cup	3
27	178	cup	2
27	30	cup	4
27	68	None	None
27	103	teaspoon	1
27	90	cup	2
28	119	tablespoon	4
28	100	tablespoon	2
28	87	None	None
28	152	cup	1
28	76	None	None
28	175	cup	4
28	40	cup	1
29	121	pound	2
29	162	teaspoon	2
29	125	teaspoon	2
29	103	cup	1
29	192	cup	2
29	43	None	None
30	20	pound	1
30	88	None	None
30	76	None	None
30	18	None	None
30	159	teaspoon	2
30	121	None	None
30	47	None	None
30	137	teaspoon	2
30	44	tablespoon	1
30	198	None	None
30	152	None	None
31	80	ounce	2
31	110	tablespoon	2
31	64	teaspoon	2
